react,fragC,fragO,product,C0O1_num
O=C(Oc1c2ccccc2cc2ccccc12)c1ccccc1,*c1c2ccccc2cc2ccccc12,*OC(=O)c1ccccc1,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:23]([c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)=[O:24])[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]12
Cc1cc(C)c(C(=O)Oc2c3ccccc3cc3ccccc23)c(C)c1,*c1c2ccccc2cc2ccccc12,*OC(=O)c1c(C)cc(C)cc1C,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:6]([c:5]2[c:3]([CH3:4])[cH:2][c:26]([CH3:27])[cH:25][c:23]2[CH3:24])=[O:7])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12
O=C(Cc1ccccc1)Oc1c2ccccc2cc2ccccc12,*OC(=O)Cc1ccccc1,*c1c2ccccc2cc2ccccc12,c4ccc(c2c1ccccc1cc3ccccc23)cc4,c1([O:1][C:24]([CH2:2][c:3]2[cH:4][cH:5][cH:6][cH:7][cH:8]2)=[O:25])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17][c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]12
CCN(CC)C(=O)Oc1ccc2ccccc2c1,*c1ccc2ccccc2c1,*OC(=O)N(CC)CC,COc3ccc(c2ccc1ccccc1c2)cc3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:18][CH3:19])=[O:6])[cH:9][cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1
CCN(CC)C(=O)Oc1ccc2cc(C(=O)OC)ccc2c1,*c1ccc2cc(C(=O)OC)ccc2c1,*OC(=O)N(CC)CC,COC(=O)c3ccc2cc(c1ccccc1)ccc2c3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:22][CH3:23])=[O:6])[cH:9][cH:10][c:11]2[cH:12][c:13]([C:14](=[O:15])[O:16][CH3:17])[cH:18][cH:19][c:20]2[cH:21]1
CCN(CC)C(=O)Oc1ccc(OC)c2ccccc12,*OC(=O)N(CC)CC,*c1ccc(OC)c2ccccc12,COc2ccc(c1ccccc1)c3ccccc23,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:20][CH3:21])=[O:6])[cH:9][cH:10][c:11]([O:12][CH3:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]12
CCN(CC)C(=O)Oc1ccc(OC)cc1,*OC(=O)N(CC)CC,*c1ccc(OC)cc1,COc2ccc(c1ccccc1)cc2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:16][CH3:17])=[O:6])[cH:9][cH:10][c:11]([O:12][CH3:13])[cH:14][cH:15]1
COc1ccc(OC(=O)OC(C)(C)C)c2ccccc12,*OC(=O)OC(C)(C)C,*c1ccc(OC)c2ccccc12,COc2ccc(c1ccccc1)c3ccccc23,c1([O:1][C:7](=[O:8])[O:9][C:10]([CH3:11])([CH3:12])[CH3:13])[cH:4][cH:3][c:2]([O:21][CH3:20])[c:19]2[c:14]1[cH:15][cH:16][cH:17][cH:18]2
CCN(CC)C(=O)Oc1ccc2c(c1)OCO2,*OC(=O)N(CC)CC,*c1ccc2c(c1)OCO2,c3ccc(c2ccc1OCOc1c2)cc3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:17][CH3:18])=[O:6])[cH:9][cH:10][c:11]2[c:12]([cH:13]1)[O:14][CH2:15][O:16]2
CCN(CC)C(=O)Oc1cccc(F)c1,*c1cccc(F)c1,*OC(=O)N(CC)CC,COc2ccc(c1cccc(F)c1)cc2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:15][CH3:16])=[O:6])[cH:9][cH:10][cH:11][c:12]([F:13])[cH:14]1
CCN(CC)C(=O)Oc1ccc(C#N)cc1,*c1ccc(C#N)cc1,*OC(=O)N(CC)CC,N#Cc2ccc(c1ccccc1)cc2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:16][CH3:17])=[O:6])[cH:9][cH:10][c:11]([C:12]#[N:13])[cH:14][cH:15]1
CCN(CC)C(=O)Oc1ccc(C)cc1C,*c1ccc(C)cc1C,*OC(=O)N(CC)CC,Cc2ccc(c1ccccc1)c(C)c2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:16][CH3:17])=[O:6])[cH:9][cH:10][c:11]([CH3:12])[cH:13][c:14]1[CH3:15]
CCN(CC)C(=O)Oc1ccccc1Cc1ccccc1,*c1ccccc1Cc1ccccc1,*OC(=O)N(CC)CC,c3ccc(Cc1ccccc1c2ccccc2)cc3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:21][CH3:22])=[O:6])[cH:9][cH:10][cH:11][cH:12][c:13]1[CH2:14][c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1
CCN(CC)C(=O)Oc1ccccc1/C=C/c1ccccc1,*c1ccccc1/C=C/c1ccccc1,*OC(=O)N(CC)CC,C(=C\c1ccccc1c2ccccc2)/c3ccccc3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:22][CH3:23])=[O:6])[cH:9][cH:10][cH:11][cH:12][c:13]1/[CH:14]=[CH:15]/[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1
CCN(CC)C(=O)Oc1ccccc1OC,*OC(=O)N(CC)CC,*c1ccccc1OC,COc1ccccc1c2ccccc2,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:16][CH3:17])=[O:6])[cH:9][cH:10][cH:11][cH:12][c:13]1[O:14][CH3:15]
CCN(CC)C(=O)Oc1ccccc1-c1ccccc1,*c1ccccc1-c1ccccc1,*OC(=O)N(CC)CC,c3ccc(c1ccccc1c2ccccc2)cc3,c1([O:1][C:5]([N:2]([CH2:3][CH3:4])[CH2:20][CH3:21])=[O:6])[cH:9][cH:10][cH:11][cH:12][c:13]1-[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
